HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
3655,True,45-54,null,50-74K,Homeowner,2 Adults,2,null
3670,True,25-34,Single,50-74K,Renter,1 Adult and Kids,2,1
3672,True,35-44,Married,50-74K,Homeowner,2 Adults and Kids,3,1
3681,True,null,null,null,null,null,null,null
3687,False,75+,Single,50-74K,Homeowner,1 Adult,1,null
3689,True,55-64,Married,75-99K,Homeowner,2 Adults and Kids,null,null
3703,True,65-74,Married,75-99K,Homeowner,2 Adults,2,null
3733,False,45-54,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
3739,True,45-54,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
3755,False,65-74,Married,35-49K,Homeowner,2 Adults and Kids,3,1
3758,True,45-54,Single,50-74K,Homeowner,Single Male,1,null
3784,True,25-34,Single,50-74K,Homeowner,1 Adult and Kids,3,2
3785,True,25-34,Single,35-49K,Homeowner,Single Male,1,null
3800,False,55-64,Single,50-74K,Homeowner,Single Female,1,null
3809,True,45-54,Married,150K+,Homeowner,2 Adults and Kids,4,2
3811,True,null,null,null,null,null,null,null
3819,False,25-34,Single,UNDER 35K,null,Single Male,1,null
3820,True,45-54,Single,50-74K,Homeowner,1 Adult and Kids,2,1
3840,True,55-64,Married,UNDER 35K,Homeowner,2 Adults and Kids,4,2
3842,False,75+,Married,50-74K,Homeowner,2 Adults and Kids,3,1
3881,False,null,null,null,null,null,null,null
3889,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,4,2
3893,True,75+,Single,UNDER 35K,Homeowner,Single Male,1,null
3895,True,null,null,null,null,null,null,null
3904,True,35-44,Single,50-74K,Homeowner,1 Adult and Kids,2,1
3940,True,null,null,null,null,null,null,null
3964,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,3,1
3969,True,45-54,Married,50-74K,Homeowner,2 Adults,2,null
3977,True,null,null,null,null,null,null,null
3988,False,65-74,Single,UNDER 35K,Homeowner,1 Adult,1,null
3993,True,45-54,Married,75-99K,Homeowner,2 Adults and Kids,3,1
4005,True,45-54,Single,50-74K,Homeowner,Single Female,1,null
4011,True,null,Single,75-99K,null,Single Female,1,null
4017,False,null,null,null,null,null,null,null
4037,True,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
4057,True,25-34,Single,75-99K,Homeowner,1 Adult and Kids,2,1
4061,True,45-54,Single,75-99K,Renter,Single Male,1,null
4062,True,55-64,Married,75-99K,Homeowner,2 Adults and Kids,4,2
4065,True,25-34,Single,35-49K,Homeowner,Single Male,1,null
4078,True,19-24,Single,150K+,Homeowner,1 Adult and Kids,2,1
4085,True,25-34,Single,UNDER 35K,Homeowner,Single Male,1,null
4105,True,55-64,Single,35-49K,Renter,Single Male,1,null
4126,True,45-54,Single,100-150K,Homeowner,1 Adult and Kids,2,1
4146,True,65-74,null,UNDER 35K,Renter,Single Male,1,null
4159,False,65-74,Single,100-150K,Homeowner,1 Adult,1,null
4171,True,35-44,Single,UNDER 35K,null,1 Adult and Kids,3,2
4183,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,4,2
4214,True,19-24,Single,50-74K,Renter,1 Adult,1,null
4218,True,35-44,Single,75-99K,Homeowner,Single Female,1,null
4249,True,65-74,Married,UNDER 35K,Homeowner,2 Adults,2,null
4264,True,null,null,null,null,null,null,null
4272,True,45-54,Single,35-49K,Renter,1 Adult and Kids,3,2
4293,True,45-54,Single,75-99K,Renter,1 Adult and Kids,null,null
4351,True,25-34,Single,35-49K,Renter,Single Female,1,null
4363,False,55-64,Married,150K+,Homeowner,2 Adults,2,null
4366,False,55-64,Single,50-74K,Homeowner,1 Adult,1,null
4372,True,75+,Married,50-74K,Homeowner,2 Adults,2,null
4405,True,null,null,null,null,null,null,null
